block_height,timestamp,mining_time_sec,nonce_attempts,difficulty,reward_jack,tx_count,is_fork,block_hash_prefix
39,2026-02-19 13:15:35,5.09,254744,4,50.0,14,False,0000cbda
40,2026-02-19 13:16:35,0.8,40225,4,50.0,19,True,00005ae0
41,2026-02-19 13:17:35,0.01,684,4,50.0,17,False,000078d1
42,2026-02-19 13:18:35,0.46,22843,4,50.0,5,False,0000fbb3
43,2026-02-19 13:19:35,0.76,37756,4,50.0,2,False,00005dc8
44,2026-02-19 13:20:35,1.46,72763,4,50.0,5,False,0000820e
45,2026-02-19 13:21:35,1.86,92878,4,50.0,19,False,0000dc91
46,2026-02-19 13:22:35,1.66,83143,4,50.0,16,False,00006dcc
47,2026-02-19 13:23:35,0.28,14159,4,50.0,5,False,0000252c
48,2026-02-19 13:24:35,0.75,37614,4,50.0,15,False,00007b8c
49,2026-02-19 13:25:35,0.27,13263,4,50.0,4,False,0000f414
50,2026-02-19 13:26:35,1.6,79797,4,50.0,20,False,0000fb57
51,2026-02-19 13:27:35,0.62,31103,5,50.0,10,False,00000cce
52,2026-02-19 13:28:35,7.34,367134,5,50.0,18,False,000005e2
53,2026-02-19 13:29:35,36.22,1810881,5,50.0,9,False,00000f1a
54,2026-02-19 13:30:35,22.17,1108734,5,50.0,18,False,0000088c
55,2026-02-19 13:31:35,38.9,1944754,5,50.0,6,False,00000ea1
56,2026-02-19 13:32:35,16.26,813179,5,50.0,4,False,00000f6d
57,2026-02-19 13:33:35,4.41,220620,5,50.0,1,False,000008bb
58,2026-02-19 13:34:35,19.37,968513,5,50.0,2,False,0000036f
59,2026-02-19 13:35:35,16.73,836368,5,50.0,5,False,0000009e
60,2026-02-19 13:36:35,5.43,271408,5,50.0,17,False,00000156
61,2026-02-19 13:37:35,40.33,2016722,5,50.0,2,False,00000ddf
62,2026-02-19 13:38:35,4.74,236897,5,50.0,19,True,00000e5d
63,2026-02-19 13:39:35,25.93,1296733,5,50.0,14,False,00000858
64,2026-02-19 13:40:35,12.43,621548,5,50.0,4,True,00000404
65,2026-02-19 13:41:35,3.83,191472,5,50.0,12,False,000001ef
66,2026-02-19 13:42:35,16.96,847947,5,50.0,17,False,000002d7
67,2026-02-19 13:43:35,38.73,1936517,5,50.0,19,False,00000d82
68,2026-02-19 13:44:35,4.87,243656,5,50.0,9,False,0000033a
69,2026-02-19 13:45:35,13.57,678253,5,50.0,5,False,000005bf
70,2026-02-19 13:46:35,3.83,191534,5,50.0,4,True,00000c5e
71,2026-02-19 13:47:35,8.27,413697,5,50.0,8,False,0000010b
72,2026-02-19 13:48:35,5.37,268451,5,50.0,17,True,000008b7
73,2026-02-19 13:49:35,31.42,1571164,5,50.0,7,True,0000012c
74,2026-02-19 13:50:35,25.74,1287222,5,50.0,17,True,00000b67
75,2026-02-19 13:51:35,8.03,401610,5,50.0,0,False,00000d96
76,2026-02-19 13:52:35,3.66,183198,5,50.0,4,False,00000da6
77,2026-02-19 13:53:35,9.68,483996,5,50.0,20,False,00000f82
78,2026-02-19 13:54:35,8.61,430650,5,50.0,2,False,00000bb5
79,2026-02-19 13:55:35,13.65,682605,5,50.0,17,False,00000928
